CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration|
0.995670974|0.213754654|0.351951033|0.549999893|6.8|0.682196319|0.381040901|0.488968432|0.499999881|19.5|0.729187548|0.675650537|0.701398909|0.249999836|22.1|0.906716406|0.903345704|0.905027926|0.049999844|1199|0.748991907|0.690520465|0.718568623|0.299999833|8.1|0.962837815|0.529739797|0.683453262|0.099999845|33.9|0.922193885|0.671933115|0.777419448|0.199999839|84.2|0.862632096|0.834572494|0.848370373|0.199999839|23.6|Left|
0.980000019|0.227695167|0.369532406|0.649999917|7.4|0.718855202|0.396840155|0.511377215|0.599999905|20|0.734627843|0.632899642|0.67998004|0.399999857|20.8|0.894491136|0.890334547|0.892408013|0.099999845|1091.1|0.742299795|0.671933115|0.705365837|0.399999857|8.8|0.973154366|0.539033473|0.693779945|0.099999845|152.9|0.915923595|0.668215632|0.772702813|0.249999836|73.9|0.83034873|0.81877321|0.82452029|0.149999842|136.3|Left|
0.904411793|0.114312269|0.202970296|0.599999905|7.8|0.52997601|0.205390334|0.296048224|0.599999905|16.3|0.506241322|0.339219332|0.406232595|0.449999869|20.6|0.605018616|0.605018616|0.605018616|0.099999845|1157.2|0.579479754|0.372676581|0.453619927|0.499999881|8.5|0.871951222|0.265799254|0.407407403|0.199999839|226.9|0.768014073|0.406133831|0.531307042|0.399999857|66|0.668202758|0.539033473|0.596707821|0.399999857|22.3|Left|
0.924528301|0.091078065|0.165820628|0.399999857|7.3|0.512499988|0.152416363|0.234957039|0.349999845|13.7|0.355726868|0.300185859|0.325604796|0.149999842|21.3|0.446428567|0.394981414|0.419132143|0.149999842|1092.7|0.401021719|0.291821569|0.33781603|0.199999839|9.4|0.749103963|0.194237918|0.308487117|0.199999839|10.7|0.646938801|0.294609666|0.404853135|0.099999845|131.6|0.454054058|0.390334576|0.419790119|0.149999842|24.4|Left|
0.766009867|0.281702906|0.411920518|0.549999893|4.3|0.553243577|0.409420282|0.470588207|0.499999881|20|0.589208007|0.613224626|0.600976467|0.349999845|58|0.56950295|0.612318814|0.590135276|0.299999833|2584|0.584482729|0.614130437|0.598939955|0.349999845|4.4|0.735802472|0.539855063|0.622779489|0.249999836|8.6|0.663197756|0.634963751|0.64877373|0.099999845|143.2|0.622857153|0.691123188|0.655216873|0.299999833|11.4|Right|
0.682692289|0.192934781|0.300847471|0.549999893|24|0.486531973|0.261775374|0.340400487|0.549999893|47|0.401845634|0.433876812|0.417247385|0.349999845|64.1|0.511487305|0.383152187|0.438114971|0.449999869|2828.1|0.546772063|0.375905812|0.445517987|0.499999881|29.4|0.613636374|0.342391312|0.439534903|0.349999845|26.3|0.543454349|0.447463781|0.490809709|0.349999845|199.4|0.517892659|0.471920282|0.493838847|0.399999857|55.9|Left|
0.766990304|0.286231875|0.416886538|0.549999893|4.4|0.53403753|0.412137687|0.465235174|0.499999881|28.1|0.582482994|0.620471001|0.600877166|0.349999845|39.4|0.580357134|0.588768125|0.58453238|0.349999845|2131.4|0.577441096|0.621376812|0.598603845|0.349999845|4.4|0.716216207|0.528079689|0.607924938|0.249999836|6.7|0.659433961|0.633152187|0.646025896|0.099999845|166.7|0.633898318|0.677536249|0.654991269|0.349999845|9.7|Right|
0.733788371|0.194746375|0.307802439|0.799999952|23.7|0.472136229|0.276268125|0.34857145|0.74999994|68.7|0.433021814|0.503623188|0.465661615|0.699999928|83|0.43870014|0.538043499|0.483319789|0.499999881|2165.2|0.575155258|0.419384062|0.485070735|0.74999994|30.4|0.711055279|0.256340593|0.376830906|0.699999928|112.4|0.657205224|0.272644937|0.385403335|0.74999994|237|0.517241359|0.570652187|0.542635679|0.699999928|239.4|Left|
0.767726183|0.284420282|0.415069401|0.399999857|4.3|0.561827958|0.378623188|0.452380955|0.349999845|23.4|0.569179773|0.622282624|0.594547808|0.199999839|52.6|0.560915768|0.621376812|0.589600325|0.149999842|2348.9|0.596188724|0.595108688|0.595648229|0.249999836|4|0.732273817|0.542572439|0.623309016|0.149999842|6.3|0.663197756|0.634963751|0.64877373|0.049999844|142.8|0.595555544|0.728260875|0.655256748|0.049999844|94.3|Right|
0.662500024|0.144021735|0.236607134|0.74999994|23.6|0.407473296|0.207427531|0.274909973|0.74999994|45.3|0.382478625|0.324275374|0.350980401|0.699999928|81.1|0.53014183|0.270833343|0.358513176|0.74999994|2181.6|0.542288542|0.296195656|0.383128285|0.74999994|27.6|0.547535241|0.281702906|0.372009546|0.699999928|24.2|0.517464399|0.362318844|0.426212013|0.699999928|225.9|0.462749213|0.399456531|0.428779781|0.699999928|60.8|Left|
0.682692289|0.192934781|0.300847471|0.549999893|23.9|0.494117647|0.266304344|0.346085906|0.549999893|40.7|0.404701918|0.436594188|0.420043558|0.349999845|81.3|0.492805749|0.372282594|0.424148619|0.449999869|2139.9|0.504576683|0.399456531|0.44590497|0.449999869|27.4|0.615259767|0.343297094|0.44069767|0.349999845|26.3|0.542354226|0.446557969|0.489816159|0.349999845|220.6|0.517892659|0.471920282|0.493838847|0.399999857|51.2|Right|
0.739495814|0.239130437|0.361396313|0.799999952|23.6|0.544568241|0.354166657|0.429198682|0.799999952|46.8|0.518388808|0.536231875|0.527159393|0.699999928|63.3|0.514986396|0.513586938|0.514285743|0.699999928|2117.3|0.522193193|0.543478251|0.532623112|0.699999928|27.9|0.676985204|0.455615938|0.544667006|0.649999917|30|0.600399613|0.544384062|0.571021318|0.649999917|212.6|0.549919486|0.618659437|0.582267702|0.649999917|54.1|Right|
0.667832196|0.17300725|0.274820149|0.699999928|23.7|0.5|0.2164855|0.302149177|0.74999994|37.8|0.352517992|0.266304344|0.303405553|0.649999917|65.1|0.501592338|0.285326093|0.363741368|0.699999928|2128.3|0.51411587|0.313405812|0.38942036|0.699999928|27.4|0.562030077|0.270833343|0.365525663|0.649999917|23.6|0.515603781|0.344202906|0.412819147|0.649999917|229.3|0.464205831|0.375905812|0.415415436|0.649999917|46|Left|
0.78231293|0.3125|0.446601957|0.799999952|4.3|0.65289259|0.429347813|0.518032789|0.799999952|13|0.584352076|0.649456501|0.615186632|0.449999869|56|0.520446122|0.634057999|0.571662009|0.149999842|2098.2|0.586095393|0.656702876|0.619393349|0.449999869|4.4|0.732075453|0.527173936|0.612954199|0.199999839|21.6|0.679097176|0.626811624|0.651907682|0.449999869|30.9|0.611489058|0.732789874|0.666666687|0.299999833|14.6|Right|
0.749391735|0.2789855|0.406600624|0.499999881|15.1|0.532374084|0.402173907|0.458204299|0.499999881|43.4|0.590831935|0.630434811|0.609991252|0.349999845|65.9|0.583556771|0.5914855|0.587494373|0.349999845|2491.8|0.597128391|0.640398562|0.618007004|0.349999845|18.7|0.700945616|0.537137687|0.60820508|0.299999833|18|0.649862528|0.642210126|0.646013677|0.099999845|270.8|0.594534695|0.729166687|0.655004084|0.099999845|164.5|Right|
0.744471729|0.274456531|0.401058882|0.599999905|22.2|0.547945201|0.398550719|0.461457789|0.599999905|52.8|0.556779683|0.595108688|0.575306475|0.449999869|73.9|0.521126747|0.603260875|0.559193909|0.349999845|2219.8|0.558178723|0.599637687|0.578165948|0.449999869|26.4|0.687116563|0.507246375|0.583637357|0.299999833|42.4|0.62918216|0.613224626|0.621100843|0.249999836|285.3|0.574730337|0.675724626|0.621149063|0.349999845|61.3|Right|
0.66051662|0.162137687|0.260363638|0.599999905|23.7|0.453781515|0.244565219|0.31783402|0.599999905|48.9|0.379280061|0.391304344|0.385198414|0.449999869|82.8|0.514945626|0.343297094|0.411956489|0.549999893|2158.5|0.524652362|0.375905812|0.437994748|0.549999893|27.7|0.591525435|0.316123188|0.412042528|0.449999869|27.5|0.51564312|0.403079718|0.452465683|0.449999869|196.1|0.486815423|0.434782594|0.459330112|0.499999881|41.7|Left|
0.758823514|0.233695656|0.357340723|0.399999857|23.6|0.510869563|0.340579718|0.408695668|0.399999857|52.1|0.49903661|0.469202906|0.483660132|0.299999833|62.6|0.562007844|0.517210126|0.538679242|0.299999833|2118.5|0.565689445|0.471920282|0.514567912|0.349999845|27.7|0.683890581|0.407608688|0.510783195|0.249999836|26.9|0.609243691|0.525362313|0.564202309|0.199999839|205.6|0.58601135|0.561594188|0.573543012|0.299999833|41.5|Left|
1|0.416816533|0.588384628|0.699999928|10.5|0.976041675|0.421312958|0.588567853|0.74999994|17.1|0.626069427|0.559352517|0.590833485|0.249999836|120.2|0.87542665|0.691996396|0.772978425|0.299999833|2089|0.834716022|0.58812952|0.69005537|0.349999845|12.8|0.953917027|0.465377688|0.625566602|0.299999833|17.6|0.960223317|0.618705034|0.752529383|0.249999836|105.5|0.850799263|0.861510813|0.85612148|0.099999845|615|Left|
