classifier_name,accuracy
CNC,0.663072765
CNC,0.613636374
CNC,0.584958196
CNC,0.658536613
CNC,0.751879692
CNC,0.672248781
CNC,0.634760678
CNC,0.620947659
CNC,0.622828782
CNC,0.578666687
CNC,0.677570105
CNC,0.615979373
CNC,0.625344336
CNC,0.63809526
CNC,0.74363637
CNC,0.681192636
CNC,0.635593235
CNC,0.630372465
CNC,0.610215068
CNC,0.607142866
CNC,0.676190495
CNC,0.621409893
CNC,0.607142866
CNC,0.709090889
CNC,0.73114121
CNC,0.648456037
CNC,0.602339208
CNC,0.604026854
CNC,0.603636384
CNC,0.514986396
CNC,0.542682946
CNC,0.773497701
CNC,0.775716722
CNC,0.693415642
CNC,0.548837185
CNC,0.557077646
CNC,0.521739125
CNC,0.609467447
CNC,0.577464759
CNC,0.518018007
CNC,0.491452992
CNC,0.629981041
CNC,0.629213512
CNC,0.589235127
CNC,0.584239125
CNC,0.563333333
CNC,0.484496117
