Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
IMDB-TMDB|Title|FastText|Euclidean Distance|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.965|0.435|0.600|0.550|25|0.931|0.442|0.599|0.950|47|0.891|0.203|0.330|0.600|645|0.934|0.209|0.341|0.850|2582|0.894|0.475|0.620|0.450|29|0.930|0.474|0.628|0.400|28|0.927|0.476|0.629|0.450|175|0.898|0.477|0.623|0.450|37|Right
IMDB-TMDB|Title|FastText|WMD|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.000|0.000|0.000|0.000|741|0.106|0.054|0.072|0.950|1045|0.333|0.212|0.259|0.850|653|0.317|0.201|0.246|0.900|2679|0.649|0.413|0.505|0.950|190|0.890|0.417|0.568|0.900|742|0.825|0.456|0.588|0.950|1452|0.720|0.458|0.560|0.850|4257|Right
IMDB-TMDB|Title|Albert|Cosine Similarity|Scarce|2805287|16|3|0.24|16|3|0.43|0.09|0.964|0.122|0.217|0.950|29|0.380|0.162|0.227|0.950|113|0.591|0.255|0.356|0.950|663|0.330|0.209|0.256|0.800|2715|0.789|0.438|0.563|0.950|33|0.923|0.440|0.596|0.950|30|0.902|0.465|0.614|0.950|161|0.850|0.466|0.602|0.950|41|Right
IMDB-TMDB|Title|Albert|Euclidean Distance|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.966|0.433|0.598|0.950|21|0.942|0.448|0.607|0.950|37|0.937|0.279|0.430|0.950|638|0.852|0.205|0.330|0.450|2705|0.948|0.454|0.614|0.950|27|0.959|0.452|0.614|0.950|29|0.946|0.459|0.618|0.100|242|0.937|0.461|0.618|0.100|57|Right
IMDB-TMDB|Title|Albert|WMD|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.956|0.285|0.439|0.950|26|0.736|0.325|0.451|0.950|62|0.777|0.267|0.397|0.950|545|0.690|0.192|0.300|0.950|3151|0.898|0.447|0.597|0.950|29|0.945|0.440|0.601|0.950|35|0.934|0.455|0.612|0.950|249|0.920|0.457|0.611|0.950|60|Right
IMDB-TVDB|Title|FastText|Cosine Similarity|Scarce|2423953|16|3|0.24|18|4|0.25|0.06|0.981|0.387|0.555|0.950|21|0.859|0.394|0.540|0.950|42|0.878|0.297|0.444|0.950|607|0.441|0.136|0.208|0.750|2779|0.888|0.438|0.586|0.900|24|0.955|0.435|0.597|0.900|22|0.944|0.442|0.602|0.900|173|0.892|0.439|0.589|0.900|40|Right
IMDB-TVDB|Title|FastText|Euclidean Distance|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.988|0.392|0.561|0.950|21|0.941|0.400|0.562|0.950|40|0.864|0.302|0.448|0.500|726|0.813|0.133|0.229|0.500|2939|0.960|0.426|0.590|0.600|27|0.963|0.435|0.599|0.500|22|0.952|0.441|0.603|0.500|129|0.911|0.438|0.592|0.500|28|Right
IMDB-TVDB|Title|FastText|WMD|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.000|0.000|0.000|0.000|614|0.091|0.073|0.081|0.950|725|0.187|0.218|0.201|0.950|738|0.117|0.137|0.127|0.650|2945|0.270|0.315|0.291|0.950|157|0.612|0.322|0.422|0.950|439|0.504|0.424|0.461|0.950|1104|0.362|0.423|0.390|0.900|2875|Right
IMDB-TVDB|Title|Albert|Cosine Similarity|Scarce|2042242|16|3|0.24|18|4|0.25|0.05|0.908|0.092|0.168|0.950|24|0.205|0.115|0.147|0.950|80|0.394|0.255|0.309|0.950|725|0.226|0.120|0.157|0.950|2899|0.477|0.362|0.412|0.950|27|0.775|0.357|0.489|0.950|24|0.690|0.431|0.530|0.950|118|0.580|0.428|0.492|0.950|33|Right
IMDB-TVDB|Title|Albert|Euclidean Distance|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.986|0.387|0.556|0.950|17|0.941|0.402|0.563|0.950|30|0.966|0.289|0.445|0.950|638|0.652|0.134|0.223|0.200|2981|0.970|0.420|0.586|0.950|27|0.982|0.419|0.587|0.950|24|0.981|0.424|0.592|0.950|173|0.974|0.422|0.589|0.950|37|Right
